alert_id,timestamp,last_seen,src_ip,dst_ip,attack,severity,risk_score,confidence,occurrences,packet_count,mitre
27D0A271F8AD,2026-06-25 00:31:00 UTC,2026-06-25 00:31:30 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,4,23872,T1498 - Network Denial of Service
F391A03595AA,2026-06-24 05:11:00 UTC,2026-06-24 05:11:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,13896,T1498 - Network Denial of Service
5BB0A56768DE,2026-06-24 05:11:00 UTC,2026-06-24 05:11:30 UTC,172.16.46.135,172.16.46.130,dos,CRITICAL,95.0,100.0,4,2142,T1498 - Network Denial of Service
E5CDA25242F8,2026-06-24 05:10:10 UTC,2026-06-24 05:10:50 UTC,172.16.46.135,172.16.46.130,dos,CRITICAL,95.0,99.9,4,6666,T1498 - Network Denial of Service
60294C5DAF13,2026-06-24 05:10:00 UTC,2026-06-24 05:10:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,18832,T1498 - Network Denial of Service
311DED502175,2026-06-24 05:09:00 UTC,2026-06-24 05:09:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,26560,T1498 - Network Denial of Service
8ADF245A79A4,2026-06-24 05:08:00 UTC,2026-06-24 05:08:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,3296,T1498 - Network Denial of Service
B0AD75941408,2026-06-24 05:07:40 UTC,2026-06-24 05:07:50 UTC,172.16.46.135,172.16.46.130,dos,CRITICAL,95.0,100.0,2,1416,T1498 - Network Denial of Service
CF7A6722E64D,2026-06-24 05:07:00 UTC,2026-06-24 05:07:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,25025,T1498 - Network Denial of Service
146A46C530B1,2026-06-24 05:06:00 UTC,2026-06-24 05:06:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,24560,T1498 - Network Denial of Service
B9403E2D2774,2026-06-24 05:05:00 UTC,2026-06-24 05:05:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,34664,T1498 - Network Denial of Service
E0D3B6F6EFCA,2026-06-24 05:04:00 UTC,2026-06-24 05:04:50 UTC,172.16.46.130,172.16.46.135,dos,CRITICAL,95.0,100.0,6,11184,T1498 - Network Denial of Service
678B8DBFB735,2026-06-24 05:04:00 UTC,2026-06-24 05:04:50 UTC,172.16.46.135,172.16.46.130,dos,CRITICAL,95.0,100.0,6,6403,T1498 - Network Denial of Service
4DA4CAB89151,2026-06-24 05:03:40 UTC,2026-06-24 05:03:50 UTC,172.16.46.135,172.16.46.130,dos,CRITICAL,95.0,100.0,2,4382,T1498 - Network Denial of Service
