window_start,window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,unique_destinations,unique_destination_ports,unique_source_ports,protocol_count,flow_duration,packets_per_second,syn_count,syn_ratio,rst_count,rst_ratio,ssh_packet_count,ssh_ratio,avg_interarrival_time,std_interarrival_time,max_packets_per_second,source_file,attack_type
2026-06-22T23:48:00+00:00,2026-06-22T23:48:09.998578072+00:00,172.16.46.135,91.189.91.81,53630,80,TCP,1591,55.71213073538655,31.24617040898626,54,759,88638,3,2,3,1,4.889917,325.3633957386189,1,0.0006285355122564425,0,0.0,0,0.0,0.0030754195823899373,0.005587045193684313,419,normal_01.pcap,normal
2026-06-22T23:48:00+00:00,2026-06-22T23:48:09.390779972+00:00,64.233.178.101,172.16.46.135,443,58590,TCP,9,264.22222222222223,311.9724979964946,60,954,2378,1,1,1,1,2.636415,3.4137265946370356,0,0.0,0,0.0,0,0.0,0.329551875625,0.8317671182658254,5,normal_01.pcap,normal
2026-06-22T23:48:00+00:00,2026-06-22T23:48:08.145541906+00:00,91.189.91.81,172.16.46.135,80,53630,TCP,916,15480.28056768559,16177.630853887233,60,64293,14179937,1,1,1,1,3.037004,301.61303705889094,0,0.0,0,0.0,0,0.0,0.003319131089617486,0.005814323104974202,321,normal_01.pcap,normal
2026-06-22T23:48:00+00:00,2026-06-22T23:48:09.998446941+00:00,91.189.91.82,172.16.46.135,80,50078,TCP,722,10957.675900277009,14227.918790082245,60,64293,7911442,1,1,1,1,1.8285930000000001,394.839092132585,1,0.0013850415512465374,0,0.0,0,0.0,0.0025361900346740638,0.005201216200796409,423,normal_01.pcap,normal
2026-06-22T23:48:10+00:00,2026-06-22T23:48:19.659674883+00:00,104.20.28.246,172.16.46.135,80,55034,TCP,2,60.0,0.0,60,60,120,1,1,1,1,0.005951,2.0,0,0.0,0,0.0,0,0.0,0.005951882,0.0,2,normal_01.pcap,normal
2026-06-22T23:48:10+00:00,2026-06-22T23:48:19.679373980+00:00,172.16.46.135,91.189.91.82,50078,80,TCP,2808,54.61289173789174,10.262616676051064,54,241,153353,2,1,2,1,9.677999,290.1426214241188,0,0.0,0,0.0,0,0.0,0.0034478086996793727,0.006549548983789273,460,normal_01.pcap,normal
2026-06-22T23:48:10+00:00,2026-06-22T23:48:19.679335117+00:00,91.189.91.82,172.16.46.135,80,50078,TCP,2951,14735.069806845137,16656.218600561115,60,64293,43483191,1,1,1,1,9.677999,304.91840307071743,0,0.0,0,0.0,0,0.0,0.003280677633559322,0.006393079204424609,500,normal_01.pcap,normal
2026-06-22T23:48:20+00:00,2026-06-22T23:48:23.652990103+00:00,172.16.46.135,172.16.46.2,53273,53,UDP,1,89.0,0.0,89,89,89,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:48:20+00:00,2026-06-22T23:48:23.662358999+00:00,172.16.46.2,172.16.46.135,53,53273,UDP,1,257.0,0.0,257,257,257,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.539608955+00:00,104.154.150.116,172.16.46.135,443,48000,TCP,11,426.72727272727275,869.8636351760274,60,3114,4694,1,1,1,1,0.253694,11.0,1,0.09090909090909091,0,0.0,0,0.0,0.025369405700000004,0.031345416885138234,11,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:39.493074894+00:00,104.18.41.41,172.16.46.135,443,55626,TCP,75,508.05333333333334,2374.1111116560837,60,20098,38104,1,1,1,1,2.606604,28.773070247724625,1,0.013333333333333334,0,0.0,0,0.0,0.035224389391891896,0.13283371124243795,47,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:33.294056892+00:00,142.250.69.106,172.16.46.135,443,43742,TCP,4,76.5,16.5,60,93,306,1,2,1,1,0.015113,4.0,0,0.0,0,0.0,0,0.0,0.005037943333333334,0.007124053926328386,4,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:35.154529095+00:00,142.250.69.129,172.16.46.135,443,59354,TCP,27,1309.962962962963,2759.6993996459173,60,9335,35369,1,2,1,1,0.196084,27.0,2,0.07407407407407407,0,0.0,0,0.0,0.007541729884615384,0.02196284885814931,21,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:33.294516087+00:00,142.250.69.35,172.16.46.135,443,44698,TCP,2,76.5,16.5,60,93,153,1,1,1,1,0.015236,2.0,0,0.0,0,0.0,0,0.0,0.01523614,0.0,2,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:34.121629953+00:00,142.250.69.46,172.16.46.135,443,60248,TCP,43,595.0697674418604,1267.8067014895473,60,4352,25588,1,4,1,1,0.085573,43.0,4,0.09302325581395349,0,0.0,0,0.0,0.0020374740714285714,0.006838143704271697,43,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:38.762290001+00:00,142.250.69.66,172.16.46.135,443,56232,TCP,15,505.53333333333336,1050.6949996179778,60,4225,7583,1,1,1,1,0.230923,15.0,1,0.06666666666666667,0,0.0,0,0.0,0.016494563642857143,0.022657376931496904,15,normal_01.pcap,normal
2026-06-22T23:48:30+00:00,2026-06-22T23:48:37.850820065+00:00,142.250.69.78,172.16.46.135,443,35236,TCP,2,76.5,16.5,60,93,153,1,1,1,1,0.013507,2.0,0,0.0,0,0.0,0,0.0,0.013507128,0.0,2,normal_01.pcap,normal
