feature,importance
avg_packet_size,0.09826633225775702
max_packet_size,0.09417110723540609
min_packet_size,0.08318725507311166
packet_count,0.07894379184373543
packets_per_second,0.07864036516601923
flow_duration,0.06529652248918948
avg_interarrival_time,0.06043360645193499
syn_ratio,0.05838522088343355
total_bytes,0.054834243792830965
max_packets_per_second,0.047952503904740866
std_packet_size,0.042761808327261425
unique_source_ports,0.041379611276491916
unique_destination_ports,0.03877855482557902
syn_count,0.038203493290762953
ssh_ratio,0.02698298597523756
ssh_packet_count,0.025664964697538387
std_interarrival_time,0.021249714590891887
rst_ratio,0.018641033258204074
rst_count,0.014988757956661877
unique_destinations,0.007886375822765537
protocol_count,0.003351750880446226
